# of Hidden Nodes          Accuracy
1                          0.6409043112513144
2                          0.8338590956887487
3                          0.8467402733964248
4                          0.8606729758149316
5                          0.8661934805467929
6                          0.8656677181913774
7                          0.8698738170347003
8                          0.8646161934805467
9                          0.8638275499474237
10                         0.8730283911671924


# of Hidden Nodes           Accuracy
1                           0.7878548895899053
2                           0.8354363827549948
3                           0.842534174553102
4                           0.8588328075709779
5                           0.8640904311251314
6                           0.8614616193480547
7                           0.861198738170347
8                           0.8625131440588854
9                           0.8680336487907466
10                          0.8638275499474237
