# of Hidden Nodes           Accuracy
1                           0.7878548895899053
2                           0.8354363827549948
3                           0.842534174553102
4                           0.8588328075709779
5                           0.8640904311251314
6                           0.8614616193480547
7                           0.861198738170347
8                           0.8625131440588854
9                           0.8680336487907466
10                          0.8638275499474237
